CrossName,Gender,Born,Assay.Date,Time,Notes
3A1,M,5/27/2014,6/25/2014,3,
3A1,M,5/27/2014,6/25/2014,4,
3A1,M,5/27/2014,6/25/2014,11,
3A1,M,5/27/2014,6/25/2014,11,
3A1,M,5/27/2014,6/25/2014,16,
3A1,M,5/27/2014,6/25/2014,7,
3A1,M,5/27/2014,6/25/2014,7,
3A1,M,5/27/2014,6/25/2014,11,
3A1,M,5/27/2014,6/25/2014,11,
3A1,M,5/27/2014,6/25/2014,17,
3A1,F,5/27/2014,6/25/2014,10,
3A1,F,5/27/2014,6/25/2014,10,
3A1,F,5/27/2014,6/25/2014,11,
3A1,F,5/27/2014,6/25/2014,13,
3A1,F,5/27/2014,6/25/2014,30,
3A1,F,5/27/2014,6/25/2014,5,
3A1,F,5/27/2014,6/25/2014,6,
3A1,F,5/27/2014,6/25/2014,6,
3A1,F,5/27/2014,6/25/2014,7,
3A1,F,5/27/2014,6/25/2014,12,
3A1,F,5/27/2014,6/25/2014,3,
3A1,F,5/27/2014,6/25/2014,3,
3A1,F,5/27/2014,6/25/2014,3,
3A1,F,5/27/2014,6/25/2014,4,
3A1,F,5/27/2014,6/25/2014,4,
3A1,F,5/27/2014,6/25/2014,2,
3A1,F,5/27/2014,6/25/2014,3,
3A1,F,5/27/2014,6/25/2014,3,
3A1,F,5/27/2014,6/25/2014,4,
3A1,F,5/27/2014,6/25/2014,4,
3B1,M,5/27/2014,6/25/2014,2,
3B1,M,5/27/2014,6/25/2014,2,
3B1,M,5/27/2014,6/25/2014,2,
3B1,M,5/27/2014,6/25/2014,3,
3B1,M,5/27/2014,6/25/2014,3,
3B1,M,5/27/2014,6/25/2014,4,
3B1,M,5/27/2014,6/25/2014,6,
3B1,M,5/27/2014,6/25/2014,11,
3B1,M,5/27/2014,6/25/2014,24,
3B1,M,5/27/2014,6/25/2014,3,
3B1,M,5/27/2014,6/25/2014,3,
3B1,M,5/27/2014,6/25/2014,4,
3B1,M,5/27/2014,6/25/2014,5,
3B1,M,5/27/2014,6/25/2014,2,
3B1,M,5/27/2014,6/25/2014,2,
3B1,M,5/27/2014,6/25/2014,3,
3B1,M,5/27/2014,6/25/2014,3,
3B1,M,5/27/2014,6/25/2014,3,
3B1,M,5/27/2014,6/25/2014,4,
3A1,F,5/27/2014,6/25/2014,2,
3A1,F,5/27/2014,6/25/2014,2,
3A1,F,5/27/2014,6/25/2014,3,
3A1,F,5/27/2014,6/25/2014,3,
3A1,F,5/27/2014,6/25/2014,5,
3A1,F,5/27/2014,6/25/2014,5,
3A1,F,5/27/2014,6/25/2014,8,
3A1,F,5/27/2014,6/25/2014,12,
3A1,F,5/27/2014,6/25/2014,17,
3A1,F,5/27/2014,6/25/2014,29,
3A1,F,5/27/2014,6/25/2014,1,
3A1,F,5/27/2014,6/25/2014,2,
3A1,F,5/27/2014,6/25/2014,3,
3A1,F,5/27/2014,6/25/2014,3,
3A1,F,5/27/2014,6/25/2014,4,
3A1,F,5/27/2014,6/25/2014,4,
3A1,F,5/27/2014,6/25/2014,5,
3A1,F,5/27/2014,6/25/2014,13,
3A1,F,5/27/2014,6/25/2014,2,
3A1,F,5/27/2014,6/25/2014,2,
3A1,F,5/27/2014,6/25/2014,2,
3A1,F,5/27/2014,6/25/2014,9,
3A1,F,5/27/2014,6/25/2014,27,
3C1,M,5/27/2014,6/25/2014,4,
3C1,M,5/27/2014,6/25/2014,5,
3C1,M,5/27/2014,6/25/2014,7,
3C1,M,5/27/2014,6/25/2014,10,
3C1,M,5/27/2014,6/25/2014,11,
3C1,M,5/27/2014,6/25/2014,4,
3C1,M,5/27/2014,6/25/2014,6,
3C1,M,5/27/2014,6/25/2014,6,
3C1,M,5/27/2014,6/25/2014,12,
3C1,M,5/27/2014,6/25/2014,24,
3C1,M,5/27/2014,6/25/2014,66,
3C1,F,5/27/2014,6/25/2014,4,
3C1,F,5/27/2014,6/25/2014,5,
3C1,F,5/27/2014,6/25/2014,7,
3C1,F,5/27/2014,6/25/2014,9,
3C1,F,5/27/2014,6/25/2014,19,
3C1,F,5/27/2014,6/25/2014,30,
3C1,F,5/27/2014,6/25/2014,31,
3C1,F,5/27/2014,6/25/2014,3,
3C1,F,5/27/2014,6/25/2014,5,
3C1,F,5/27/2014,6/25/2014,6,
3C1,F,5/27/2014,6/25/2014,8,
3C1,F,5/27/2014,6/25/2014,10,
5A1,M,5/27/2014,6/25/2014,2,
5A1,M,5/27/2014,6/25/2014,3,
5A1,M,5/27/2014,6/25/2014,3,
5A1,M,5/27/2014,6/25/2014,7,
5A1,M,5/27/2014,6/25/2014,7,
5A1,M,5/27/2014,6/25/2014,8,
5A1,M,5/27/2014,6/25/2014,9,
5A1,M,5/27/2014,6/25/2014,12,
5A1,M,5/27/2014,6/25/2014,20,
5A1,F,5/27/2014,6/25/2014,1,
5A1,F,5/27/2014,6/25/2014,2,
5A1,F,5/27/2014,6/25/2014,3,
5A1,F,5/27/2014,6/25/2014,4,
5A1,F,5/27/2014,6/25/2014,5,
5A1,F,5/27/2014,6/25/2014,16,
5A1,F,5/27/2014,6/25/2014,2,
5A1,F,5/27/2014,6/25/2014,2,
5A1,F,5/27/2014,6/25/2014,2,
5A1,F,5/27/2014,6/25/2014,3,
5A1,F,5/27/2014,6/25/2014,3,
5A1,F,5/27/2014,6/25/2014,4,
5A1,F,5/27/2014,6/25/2014,7,
5A1,F,5/27/2014,6/25/2014,14,
5A1,F,5/27/2014,6/25/2014,30,
3B1,M,6/1/2014,6/25/2014,2,
3B1,M,6/1/2014,6/25/2014,2,
3B1,M,6/1/2014,6/25/2014,3,
3B1,M,6/1/2014,6/25/2014,3,
3B1,M,6/1/2014,6/25/2014,3,
3B1,M,6/1/2014,6/25/2014,4,
3B1,M,6/1/2014,6/25/2014,4,
3B1,M,6/1/2014,6/25/2014,4,
3B1,M,6/1/2014,6/25/2014,5,
3B1,M,6/1/2014,6/25/2014,7,
3A1,F,6/1/2014,6/25/2014,2,
3A1,F,6/1/2014,6/25/2014,3,
3A1,F,6/1/2014,6/25/2014,3,
3A1,F,6/1/2014,6/25/2014,6,
3A1,F,6/1/2014,6/25/2014,29,
3A1,F,6/1/2014,6/25/2014,31,
3A1,F,6/1/2014,6/25/2014,46,
3A1,F,6/1/2014,6/25/2014,3,
3A1,F,6/1/2014,6/25/2014,4,
3A1,F,6/1/2014,6/25/2014,4,
3A1,F,6/1/2014,6/25/2014,6,
3A1,F,6/1/2014,6/25/2014,14,
3B1,F,6/1/2014,6/25/2014,2,
3B1,F,6/1/2014,6/25/2014,2,
3B1,F,6/1/2014,6/25/2014,4,
3B1,F,6/1/2014,6/25/2014,5,
3B1,F,6/1/2014,6/25/2014,6,
3B1,F,6/1/2014,6/25/2014,8,
3B1,F,6/1/2014,6/25/2014,18,
3B1,M,6/1/2014,6/25/2014,4,
3B1,M,6/1/2014,6/25/2014,6,
3B1,M,6/1/2014,6/25/2014,7,
3B1,M,6/1/2014,6/25/2014,7,
3B1,M,6/1/2014,6/25/2014,8,
3B1,M,6/1/2014,6/25/2014,37,
3B1,M,6/1/2014,6/25/2014,98,
3B1,M,6/1/2014,6/25/2014,173,
3C1,M,6/1/2014,6/25/2014,4,
3C1,M,6/1/2014,6/25/2014,4,
3C1,M,6/1/2014,6/25/2014,4,
3C1,M,6/1/2014,6/25/2014,6,
3C1,M,6/1/2014,6/25/2014,7,
3C1,M,6/1/2014,6/25/2014,13,
3D1,M,6/1/2014,6/25/2014,4,
3D1,M,6/1/2014,6/25/2014,5,
3D1,M,6/1/2014,6/25/2014,5,
3D1,M,6/1/2014,6/25/2014,6,
3D1,M,6/1/2014,6/25/2014,6,
3D1,M,6/1/2014,6/25/2014,9,
3D1,M,6/1/2014,6/25/2014,9,
3D1,M,6/1/2014,6/25/2014,20,
3D1,M,6/1/2014,6/25/2014,29,
3D1,M,6/1/2014,6/25/2014,44,
3D1,M,6/1/2014,6/25/2014,47,
3D1,F,6/1/2014,6/25/2014,2,
3D1,F,6/1/2014,6/25/2014,2,
3D1,F,6/1/2014,6/25/2014,2,
3D1,F,6/1/2014,6/25/2014,2,
3D1,F,6/1/2014,6/25/2014,3,
3D1,F,6/1/2014,6/25/2014,3,
3D1,F,6/1/2014,6/25/2014,4,
3D1,F,6/1/2014,6/25/2014,4,
3D1,F,6/1/2014,6/25/2014,5,
3D1,F,6/1/2014,6/25/2014,6,
3D1,F,6/1/2014,6/25/2014,1,
3D1,F,6/1/2014,6/25/2014,2,
3D1,F,6/1/2014,6/25/2014,3,
3D1,F,6/1/2014,6/25/2014,3,
3D1,F,6/1/2014,6/25/2014,4,
3D1,F,6/1/2014,6/25/2014,6,
3D1,F,6/1/2014,6/25/2014,6,
3D1,F,6/1/2014,6/25/2014,7,
3D1,F,6/1/2014,6/25/2014,10,
3D1,F,6/1/2014,6/25/2014,14,
3D1,F,6/1/2014,6/25/2014,2,
3D1,F,6/1/2014,6/25/2014,4,
3D1,F,6/1/2014,6/25/2014,5,
3D1,F,6/1/2014,6/25/2014,6,
3D1,F,6/1/2014,6/25/2014,6,
3D1,F,6/1/2014,6/25/2014,7,
3D1,F,6/1/2014,6/25/2014,7,
3D1,F,6/1/2014,6/25/2014,8,
3D1,F,6/1/2014,6/25/2014,15,
3D1,F,6/1/2014,6/25/2014,47,
5A1,M,6/2/2014,6/25/2014,1,
5A1,M,6/2/2014,6/25/2014,2,
5A1,M,6/2/2014,6/25/2014,3,
5A1,M,6/2/2014,6/25/2014,3,
5A1,M,6/2/2014,6/25/2014,3,
5A1,M,6/2/2014,6/25/2014,4,
5A1,M,6/2/2014,6/25/2014,6,
5A1,M,6/2/2014,6/25/2014,6,
5A1,M,6/2/2014,6/25/2014,20,
5A1,M,6/2/2014,6/25/2014,37,
5A1,M,6/2/2014,6/25/2014,2,
5A1,M,6/2/2014,6/25/2014,3,
5A1,M,6/2/2014,6/25/2014,3,
5A1,M,6/2/2014,6/25/2014,4,
5A1,M,6/2/2014,6/25/2014,5,
5A1,M,6/2/2014,6/25/2014,6,
5A1,M,6/2/2014,6/25/2014,9,
5A1,M,6/2/2014,6/25/2014,12,
5A1,M,6/2/2014,6/25/2014,15,
5A1,M,6/2/2014,6/25/2014,31,
5A1,M,6/2/2014,6/25/2014,1,
5A1,M,6/2/2014,6/25/2014,3,
5A1,M,6/2/2014,6/25/2014,3,
5A1,M,6/2/2014,6/25/2014,5,
5A1,M,6/2/2014,6/25/2014,5,
5A1,M,6/2/2014,6/25/2014,32,
5A1,F,6/2/2014,6/25/2014,2,
5A1,F,6/2/2014,6/25/2014,4,
5A1,F,6/2/2014,6/25/2014,4,
5A1,F,6/2/2014,6/25/2014,5,
5A1,F,6/2/2014,6/25/2014,6,
5A1,F,6/2/2014,6/25/2014,>300,
5A1,F,6/2/2014,6/26/2014,1,
5A1,F,6/2/2014,6/26/2014,2,
5A1,F,6/2/2014,6/26/2014,6,
5A1,F,6/2/2014,6/26/2014,6,
5A1,F,6/2/2014,6/26/2014,6,
5A1,F,6/2/2014,6/26/2014,9,
5A1,F,6/2/2014,6/26/2014,11,
5A1,F,6/2/2014,6/26/2014,12,
5A1,F,6/2/2014,6/26/2014,14,
5A1,F,6/2/2014,6/26/2014,1,
5A1,F,6/2/2014,6/26/2014,2,
5A1,F,6/2/2014,6/26/2014,2,
5A1,F,6/2/2014,6/26/2014,7,
5A1,F,6/2/2014,6/26/2014,8,
3B2,M,6/2/2014,6/26/2014,6,
3B2,M,6/2/2014,6/26/2014,17,
3B2,M,6/2/2014,6/26/2014,24,
3B2,M,6/2/2014,6/26/2014,30,
3B2,M,6/2/2014,6/26/2014,32,
3B2,M,6/2/2014,6/26/2014,32,
3B2,M,6/2/2014,6/26/2014,43,
4B1,F,6/2/2014,6/26/2014,2,
4B1,F,6/2/2014,6/26/2014,2,
4B1,F,6/2/2014,6/26/2014,2,
4B1,F,6/2/2014,6/26/2014,2,
4B1,F,6/2/2014,6/26/2014,3,
4B1,F,6/2/2014,6/26/2014,3,
4B1,F,6/2/2014,6/26/2014,4,
4B1,F,6/2/2014,6/26/2014,26,
4B1,F,6/2/2014,6/26/2014,31,
4B1,F,6/2/2014,6/26/2014,40,
4B1,F,6/2/2014,6/26/2014,1,
4B1,F,6/2/2014,6/26/2014,3,
4B1,F,6/2/2014,6/26/2014,4,
4B1,F,6/2/2014,6/26/2014,5,
4B1,F,6/2/2014,6/26/2014,6,
4B1,F,6/2/2014,6/26/2014,8,
4B1,F,6/2/2014,6/26/2014,9,
4B1,F,6/2/2014,6/26/2014,10,
4B1,F,6/2/2014,6/26/2014,11,
4B1,F,6/2/2014,6/26/2014,14,
4B1,F,6/2/2014,6/26/2014,2,
4B1,F,6/2/2014,6/26/2014,3,
4B1,F,6/2/2014,6/26/2014,4,
4B1,F,6/2/2014,6/26/2014,5,
4B1,F,6/2/2014,6/26/2014,10,
4B1,F,6/2/2014,6/26/2014,21,
4B1,F,6/2/2014,6/26/2014,4,
4B1,F,6/2/2014,6/26/2014,4,
4B1,F,6/2/2014,6/26/2014,4,
4B1,F,6/2/2014,6/26/2014,7,
4B1,F,6/2/2014,6/26/2014,9,
4B1,F,6/2/2014,6/26/2014,9,
4B1,F,6/2/2014,6/26/2014,10,
4B1,F,6/2/2014,6/26/2014,11,
4B1,F,6/2/2014,6/26/2014,12,
4B1,F,6/2/2014,6/26/2014,14,
4B1,F,6/2/2014,6/26/2014,1,
4B1,F,6/2/2014,6/26/2014,4,
4B1,F,6/2/2014,6/26/2014,5,
4B1,F,6/2/2014,6/26/2014,7,
4B1,F,6/2/2014,6/26/2014,9,
4B1,F,6/2/2014,6/26/2014,9,
4B1,F,6/2/2014,6/26/2014,10,
4B1,F,6/2/2014,6/26/2014,20,
4B1,F,6/2/2014,6/26/2014,25,
4B1,M,6/2/2014,6/26/2014,4,
4B1,M,6/2/2014,6/26/2014,5,
4B1,M,6/2/2014,6/26/2014,7,
4B1,M,6/2/2014,6/26/2014,8,
4B1,M,6/2/2014,6/26/2014,8,
4B1,M,6/2/2014,6/26/2014,10,
4B1,M,6/2/2014,6/26/2014,29,
4B1,M,6/2/2014,6/26/2014,30,
4B1,M,6/2/2014,6/26/2014,31,
4B1,M,6/2/2014,6/26/2014,58,
4B1,M,6/2/2014,6/26/2014,2,
4B1,M,6/2/2014,6/26/2014,3,
4B1,M,6/2/2014,6/26/2014,4,
4B1,M,6/2/2014,6/26/2014,4,
4B1,M,6/2/2014,6/26/2014,7,
4B1,M,6/2/2014,6/26/2014,16,
4B1,M,6/2/2014,6/26/2014,36,
4B1,M,6/2/2014,6/26/2014,57,
4B1,M,6/2/2014,6/26/2014,2,
4B1,M,6/2/2014,6/26/2014,27,
4B1,M,6/2/2014,6/26/2014,39,
4B1,M,6/2/2014,6/26/2014,43,
4B1,M,6/2/2014,6/26/2014,43,
4B1,M,6/2/2014,6/26/2014,55,
4B1,M,6/2/2014,6/26/2014,61,
4B1,M,6/2/2014,6/26/2014,117,
4B1,M,6/2/2014,6/26/2014,186,
4B1,M,6/2/2014,6/26/2014,300,+
4B1,M,6/3/2014,6/26/2014,9,
4B1,M,6/3/2014,6/26/2014,19,
4B1,M,6/3/2014,6/26/2014,21,
4B1,M,6/3/2014,6/26/2014,29,
4B1,M,6/3/2014,6/26/2014,29,
4B1,M,6/3/2014,6/26/2014,49,
4B1,M,6/3/2014,6/26/2014,87,
4B1,M,6/3/2014,6/26/2014,190,
4B1,M,6/3/2014,6/26/2014,224,
4B1,M,6/3/2014,6/26/2014,297,
3B2,F,6/3/2014,6/26/2014,3,
3B2,F,6/3/2014,6/26/2014,3,
3B2,F,6/3/2014,6/26/2014,5,
3B2,F,6/3/2014,6/26/2014,8,
3B2,F,6/3/2014,6/26/2014,10,
3B2,F,6/3/2014,6/26/2014,14,
3B2,F,6/3/2014,6/26/2014,3,
3B2,F,6/3/2014,6/26/2014,4,
3B2,F,6/3/2014,6/26/2014,5,
3B2,F,6/3/2014,6/26/2014,7,
3B2,F,6/3/2014,6/26/2014,7,
3B2,F,6/3/2014,6/26/2014,10,
3B2,F,6/3/2014,6/26/2014,15,
3A2,F,6/3/2014,6/26/2014,1,
3A2,F,6/3/2014,6/26/2014,2,
3A2,F,6/3/2014,6/26/2014,2,
3A2,F,6/3/2014,6/26/2014,3,
3A2,F,6/3/2014,6/26/2014,5,
3A2,F,6/3/2014,6/26/2014,5,
3A2,F,6/3/2014,6/26/2014,6,
3A2,F,6/3/2014,6/26/2014,8,
3A2,F,6/3/2014,6/26/2014,14,
3A2,F,6/3/2014,6/26/2014,18,
3A2,F,6/3/2014,6/26/2014,19,
3A2,M,6/3/2014,6/26/2014,12,
3A2,M,6/3/2014,6/26/2014,22,
3A2,M,6/3/2014,6/26/2014,30,
3A2,M,6/3/2014,6/26/2014,36,
3A2,M,6/3/2014,6/26/2014,46,
3A2,M,6/3/2014,6/26/2014,64,
3A2,M,6/3/2014,6/26/2014,86,
3A2,M,6/3/2014,6/26/2014,155,
3A2,M,6/3/2014,6/26/2014,163,
3A2,M,6/3/2014,6/26/2014,187,
3A2,M,6/3/2014,6/26/2014,4,
3A2,M,6/3/2014,6/26/2014,5,
3A2,M,6/3/2014,6/26/2014,7,
3A2,M,6/3/2014,6/26/2014,11,
3A2,M,6/3/2014,6/26/2014,21,
3A2,M,6/3/2014,6/26/2014,24,
3A2,M,6/3/2014,6/26/2014,30,
3A2,M,6/3/2014,6/26/2014,38,
3A2,M,6/3/2014,6/26/2014,39,
3C2,M,6/3/2014,6/26/2014,3,
3C2,M,6/3/2014,6/26/2014,7,
3C2,M,6/3/2014,6/26/2014,11,
3C2,M,6/3/2014,6/26/2014,12,
3C2,M,6/3/2014,6/26/2014,13,
3C2,M,6/3/2014,6/26/2014,17,
3C2,M,6/3/2014,6/26/2014,44,
3C2,M,6/3/2014,6/26/2014,217,
3C2,M,6/3/2014,6/26/2014,300,+
3C2,M,6/3/2014,6/26/2014,300,+
3C2,F,6/3/2014,6/26/2014,3,
3C2,F,6/3/2014,6/26/2014,4,
3C2,F,6/3/2014,6/26/2014,5,
3C2,F,6/3/2014,6/26/2014,6,
3C2,F,6/3/2014,6/26/2014,6,
3C2,F,6/3/2014,6/26/2014,6,
3C2,F,6/3/2014,6/26/2014,7,
3C2,F,6/3/2014,6/26/2014,8,
3C2,F,6/3/2014,6/26/2014,4,
3C2,F,6/3/2014,6/26/2014,5,
3C2,F,6/3/2014,6/26/2014,6,
3C2,F,6/3/2014,6/26/2014,6,
3C2,F,6/3/2014,6/26/2014,9,
3C2,F,6/3/2014,6/26/2014,9,
3C2,F,6/3/2014,6/26/2014,26,
3C2,M,6/5/2014,7/2/2014,300,+
3C2,M,6/5/2014,7/2/2014,300,+
3C2,F,6/5/2014,7/2/2014,5,
3C2,F,6/5/2014,7/2/2014,5,
3C2,F,6/5/2014,7/2/2014,8,
3C2,F,6/5/2014,7/2/2014,8,
3C2,F,6/5/2014,7/2/2014,13,
3C2,F,6/5/2014,7/2/2014,71,
4A1,F,6/5/2014,7/2/2014,2,
4A1,F,6/5/2014,7/2/2014,4,
4A1,F,6/5/2014,7/2/2014,8,
4A1,F,6/5/2014,7/2/2014,8,
4A1,F,6/5/2014,7/2/2014,12,
4A1,F,6/5/2014,7/2/2014,26,
3C2,F,6/7/2014,7/2/2014,3,
3C2,F,6/7/2014,7/2/2014,4,
3C2,F,6/7/2014,7/2/2014,5,
3C2,F,6/7/2014,7/2/2014,5,
3C2,F,6/7/2014,7/2/2014,7,
3C2,F,6/7/2014,7/2/2014,8,
3C2,M,6/7/2014,7/2/2014,5,
3C2,M,6/7/2014,7/2/2014,10,
3C2,M,6/7/2014,7/2/2014,15,
3C2,M,6/7/2014,7/2/2014,44,
4CCC3,M,7/6/2014,7/8/2014,40,
4A1,F,6/8/2014,7/9/2014,17,
3A2,F,6/8/2014,7/9/2014,4,
3A2,F,6/8/2014,7/9/2014,5,
3A2,F,6/8/2014,7/9/2014,7,
4A1,M,6/8/2014,7/9/2014,1,
4A1,M,6/8/2014,7/9/2014,5,
4A1,M,6/8/2014,7/9/2014,300,+
4A1,M,6/8/2014,7/9/2014,300,+
3A2,M,6/8/2014,7/9/2014,2,
3A2,M,6/8/2014,7/9/2014,3,
3A2,M,6/8/2014,7/9/2014,8,
3A2,M,6/8/2014,7/9/2014,12,
5AA1,F,6/9/2014,7/9/2014,1,
5AA1,F,6/9/2014,7/9/2014,2,
5AA1,F,6/9/2014,7/9/2014,6,
5AA1,F,6/9/2014,7/9/2014,9,
5AA1,F,6/9/2014,7/9/2014,12,
5AA1,F,6/9/2014,7/9/2014,14,
5AA1,F,6/9/2014,7/9/2014,22,
4B1,F,6/8/2014,7/9/2014,2,
4B1,F,6/8/2014,7/9/2014,2,
4B1,F,6/8/2014,7/9/2014,3,
4B1,F,6/8/2014,7/9/2014,3,
4B1,F,6/8/2014,7/9/2014,4,
4B1,F,6/8/2014,7/9/2014,4,
4B1,F,6/8/2014,7/9/2014,5,
4B1,F,6/8/2014,7/9/2014,6,
4B1,F,6/8/2014,7/9/2014,10,
4B1,F,6/8/2014,7/9/2014,11,
4B1,F,6/8/2014,7/9/2014,2,
4B1,F,6/8/2014,7/9/2014,3,
4B1,F,6/8/2014,7/9/2014,3,
4B1,F,6/8/2014,7/9/2014,4,
4B1,F,6/8/2014,7/9/2014,6,
4B1,F,6/8/2014,7/9/2014,8,
4B1,F,6/8/2014,7/9/2014,9,
4B1,F,6/8/2014,7/9/2014,10,
4B1,F,6/8/2014,7/9/2014,13,
4B1,F,6/8/2014,7/9/2014,2,
4B1,F,6/8/2014,7/9/2014,4,
4B1,F,6/8/2014,7/9/2014,5,
4B1,F,6/8/2014,7/9/2014,6,
4B1,F,6/8/2014,7/9/2014,6,
4B1,F,6/8/2014,7/9/2014,7,
4B1,F,6/8/2014,7/9/2014,8,
4B1,M,6/8/2014,7/9/2014,2,
4B1,M,6/8/2014,7/9/2014,2,
4B1,M,6/8/2014,7/9/2014,2,
4B1,M,6/8/2014,7/9/2014,3,
4B1,M,6/8/2014,7/9/2014,3,
4B1,M,6/8/2014,7/9/2014,3,
4B1,M,6/8/2014,7/9/2014,4,
4B1,M,6/8/2014,7/9/2014,11,
4B1,M,6/8/2014,7/9/2014,23,
4B1,M,6/8/2014,7/9/2014,2,
4B1,M,6/8/2014,7/9/2014,2,
4B1,M,6/8/2014,7/9/2014,2,
4B1,M,6/8/2014,7/9/2014,2,
4B1,M,6/8/2014,7/9/2014,3,
4B1,M,6/8/2014,7/9/2014,3,
4B1,M,6/8/2014,7/9/2014,3,
4B1,M,6/8/2014,7/9/2014,3,
4B1,M,6/8/2014,7/9/2014,4,
4A2,F,6/8/2014,7/9/2014,2,
4A2,F,6/8/2014,7/9/2014,3,
4A2,F,6/8/2014,7/9/2014,3,
4A2,F,6/8/2014,7/9/2014,9,
4A2,F,6/8/2014,7/9/2014,98,
4A2,F,6/8/2014,7/9/2014,179,
4A2,F,6/8/2014,7/9/2014,300,+
4A2,M,6/8/2014,7/9/2014,2,
3B2,M,6/8/2014,7/9/2014,4,
3B2,M,6/8/2014,7/9/2014,4,
3B2,M,6/8/2014,7/9/2014,4,
3B2,M,6/8/2014,7/9/2014,5,
3B2,F,6/8/2014,7/9/2014,6,
3B2,F,6/8/2014,7/9/2014,7,
3B2,F,6/8/2014,7/9/2014,12,
3B2,F,6/8/2014,7/9/2014,36,
3B2,F,6/8/2014,7/9/2014,41,
3B2,F,6/8/2014,7/9/2014,46,
3B2,F,6/8/2014,7/9/2014,56,
3B2,F,6/8/2014,7/9/2014,300,+
4B2,F,6/9/2014,7/9/2014,1,
4B2,F,6/9/2014,7/9/2014,1,
4B2,F,6/9/2014,7/9/2014,2,
4B2,F,6/9/2014,7/9/2014,3,
4B2,F,6/9/2014,7/9/2014,9,
4B2,F,6/9/2014,7/9/2014,2,
4B2,F,6/9/2014,7/9/2014,2,
4B2,F,6/9/2014,7/9/2014,3,
4B2,F,6/9/2014,7/9/2014,4,
4B2,F,6/9/2014,7/9/2014,5,
4B2,F,6/9/2014,7/9/2014,6,
3E1,M,6/9/2014,7/9/2014,5,
3E1,M,6/9/2014,7/9/2014,5,
3E1,M,6/9/2014,7/9/2014,7,
3E1,M,6/9/2014,7/9/2014,11,
3E1,M,6/9/2014,7/9/2014,12,
3E1,M,6/9/2014,7/9/2014,14,
3E1,M,6/9/2014,7/9/2014,22,
3E1,M,6/9/2014,7/9/2014,28,
3E1,M,6/9/2014,7/9/2014,300,+
3E1,M,6/9/2014,7/9/2014,300,+
3E1,M,6/9/2014,7/9/2014,10,
3E1,M,6/9/2014,7/9/2014,12,
3E1,M,6/9/2014,7/9/2014,13,
3E1,M,6/9/2014,7/9/2014,15,
3E1,M,6/9/2014,7/9/2014,300,+
3E1,M,6/9/2014,7/9/2014,300,+
3E1,M,6/9/2014,7/9/2014,300,+
3E1,M,6/9/2014,7/9/2014,300,+
3E1,M,6/9/2014,7/9/2014,300,+
3E1,M,6/9/2014,7/9/2014,300,+
5AA1,M,6/9/2014,7/9/2014,5,
5AA1,M,6/9/2014,7/9/2014,177,
5AA1,M,6/9/2014,7/9/2014,183,
5AA1,M,6/9/2014,7/9/2014,274,
5AA1,M,6/9/2014,7/9/2014,300,+
5AA1,M,6/9/2014,7/9/2014,300,+
5AA1,M,6/9/2014,7/9/2014,300,+
5AA1,M,6/9/2014,7/9/2014,1,
5AA1,M,6/9/2014,7/9/2014,3,
5AA1,M,6/9/2014,7/9/2014,3,
5AA1,M,6/9/2014,7/9/2014,4,
5AA1,M,6/9/2014,7/9/2014,7,
5AA1,M,6/9/2014,7/9/2014,7,
5AA1,M,6/9/2014,7/9/2014,51,
3E1,F,6/9/2014,7/9/2014,2,
3E1,F,6/9/2014,7/9/2014,6,
3E1,F,6/9/2014,7/9/2014,7,
3E1,F,6/9/2014,7/9/2014,8,
3E1,F,6/9/2014,7/9/2014,17,
3E1,F,6/9/2014,7/9/2014,228,
3E1,F,6/9/2014,7/9/2014,300,+
3E1,F,6/9/2014,7/9/2014,300,+
3E1,F,6/9/2014,7/9/2014,2,
3E1,F,6/9/2014,7/9/2014,4,
3E1,F,6/9/2014,7/9/2014,4,
3E1,F,6/9/2014,7/9/2014,8,
3E1,F,6/9/2014,7/9/2014,9,
3E1,F,6/9/2014,7/9/2014,15,
3E1,F,6/9/2014,7/9/2014,51,
3E1,F,6/9/2014,7/9/2014,4,
3E1,F,6/9/2014,7/9/2014,4,
3E1,F,6/9/2014,7/9/2014,20,
3E1,F,6/9/2014,7/9/2014,32,
3E1,F,6/9/2014,7/9/2014,46,
3E1,F,6/9/2014,7/9/2014,236,
3E1,F,6/9/2014,7/9/2014,300,+
3E1,F,6/9/2014,7/9/2014,300,+
5AA1,F,6/9/2014,7/9/2014,1,
5AA1,F,6/9/2014,7/9/2014,2,
5AA1,F,6/9/2014,7/9/2014,3,
5AA1,F,6/9/2014,7/9/2014,4,
5AA1,F,6/9/2014,7/9/2014,5,
5AA1,F,6/9/2014,7/9/2014,5,
5AA1,F,6/9/2014,7/9/2014,16,
5AA1,F,6/9/2014,7/9/2014,28,
4B2,M,6/9/2014,7/9/2014,2,
4B2,M,6/9/2014,7/9/2014,4,
4B2,M,6/9/2014,7/9/2014,7,
4B2,M,6/9/2014,7/9/2014,9,
4B2,M,6/9/2014,7/9/2014,9,
4B2,M,6/9/2014,7/9/2014,14,
4B2,M,6/9/2014,7/9/2014,21,
4B2,M,6/9/2014,7/9/2014,39,
4B2,M,6/9/2014,7/9/2014,3,
4B2,M,6/9/2014,7/9/2014,3,
4B2,M,6/9/2014,7/9/2014,4,
4B2,M,6/9/2014,7/9/2014,4,
4B2,M,6/9/2014,7/9/2014,10,
4B2,M,6/9/2014,7/9/2014,14,
